numero_linha,nome_arquivo,tipo_documento,caminho_campo,nome_prisma,tabela_prisma,confianca_mapeamento,observacao_mapeamento,chave_json,valor_extraido,preenchido
888,amostra-bl.pdf,INVOICE,exporter.name,nome_exportador_item,PedidoItem,sugestao,Alternativas: nome_fornecedor (Fornecedor),name,PERONI POMPE SpA,sim
889,amostra-bl.pdf,INVOICE,exporter.address,endereco_fornecedor,Fornecedor,alta,,address,"Via Tacito, 4 - 20094 Corsico (MI) Italia",sim
890,amostra-bl.pdf,INVOICE,exporter.country,pais_fornecedor,Fornecedor,alta,,country,Italy,sim
891,amostra-bl.pdf,INVOICE,exporter.state,estado_provincia_fornecedor,Fornecedor,alta,,state,,nao
892,amostra-bl.pdf,INVOICE,exporter.city,cidade_fornecedor,Fornecedor,alta,,city,Corsico,sim
893,amostra-bl.pdf,INVOICE,exporter.zipCode,cep_zipcode_fornecedor,Fornecedor,alta,,zipCode,20094,sim
894,amostra-bl.pdf,INVOICE,exporter.taxId,tin_fornecedor,Fornecedor,alta,,taxId,IT 00745820159,sim
895,amostra-bl.pdf,INVOICE,exporter.phone,telefone_fornecedor,Fornecedor,alta,,phone,+39 02 489 40.1,sim
896,amostra-bl.pdf,INVOICE,exporter.email,email_fornecedor,Fornecedor,alta,,email,,nao
897,amostra-bl.pdf,INVOICE,importer.name,nome_importador_item,PedidoItem,sugestao,Alternativas: nome_fornecedor (Fornecedor),name,SUPERQUIP SERVICOS E EQUIPAMENTOS TECNICOS LTDA,sim
898,amostra-bl.pdf,INVOICE,importer.address,endereco_fornecedor,Fornecedor,alta,,address,RUA MEXICO 3-18° ANDAR CENTRO 20031-144 RIO DE JANEIRO RJ BRASILEIRA,sim
899,amostra-bl.pdf,INVOICE,importer.country,pais_fornecedor,Fornecedor,alta,,country,BRASIL,sim
900,amostra-bl.pdf,INVOICE,importer.state,estado_provincia_fornecedor,Fornecedor,alta,,state,RJ,sim
901,amostra-bl.pdf,INVOICE,importer.city,cidade_fornecedor,Fornecedor,alta,,city,RIO DE JANEIRO,sim
902,amostra-bl.pdf,INVOICE,importer.zipCode,cep_zipcode_fornecedor,Fornecedor,alta,,zipCode,20031-144,sim
903,amostra-bl.pdf,INVOICE,importer.taxId,cnpj_fornecedor,Fornecedor,alta,,taxId,CNPJ30712061/0001-42,sim
904,amostra-bl.pdf,INVOICE,importer.phone,telefone_fornecedor,Fornecedor,alta,,phone,+55.21.22625355,sim
905,amostra-bl.pdf,INVOICE,importer.email,email_fornecedor,Fornecedor,alta,,email,,nao
906,amostra-bl.pdf,INVOICE,shipment.modal,modal_frete_internacional_processo,LogisticaInternacionalProcesso,alta,,modal,,nao
907,amostra-bl.pdf,INVOICE,shipment.carrier,,,,,carrier,,nao
908,amostra-bl.pdf,INVOICE,shipment.vesselName,,,,,vesselName,,nao
909,amostra-bl.pdf,INVOICE,shipment.airports.origin,,,,,origin,,nao
910,amostra-bl.pdf,INVOICE,shipment.airports.destination,,,,,destination,,nao
911,amostra-bl.pdf,INVOICE,shipment.ports.origin,porto_origem_processo,LogisticaInternacionalProcesso,alta,,origin,,nao
912,amostra-bl.pdf,INVOICE,shipment.ports.loading,porto_origem_processo,LogisticaInternacionalProcesso,alta,,loading,,nao
913,amostra-bl.pdf,INVOICE,shipment.ports.destination,porto_destino_processo,LogisticaInternacionalProcesso,alta,,destination,,nao
914,amostra-bl.pdf,INVOICE,shipment.ports.discharge,porto_destino_processo,LogisticaInternacionalProcesso,alta,,discharge,,nao
915,amostra-bl.pdf,INVOICE,shipment.costs.freight,,,,,freight,,nao
916,amostra-bl.pdf,INVOICE,shipment.costs.insurance,,,,,insurance,,nao
917,amostra-bl.pdf,INVOICE,containerNumbers,container_numero_processo_container,ContainerProcesso,alta,,containerNumbers,,nao
918,amostra-bl.pdf,INVOICE,payment.method,,,,,method,,nao
919,amostra-bl.pdf,INVOICE,payment.terms,condicao_pagamento_item,PedidoItem,alta,,terms,60 DAYS INVOICE DATE,sim
920,amostra-bl.pdf,INVOICE,bankingDetails.bankName,,,,,bankName,BANCO BPM S.P.A.,sim
921,amostra-bl.pdf,INVOICE,bankingDetails.iban,,,,,iban,IT88H0503420100000000001975,sim
922,amostra-bl.pdf,INVOICE,bankingDetails.swift,,,,,swift,BAPPIT21AI6,sim
923,amostra-bl.pdf,INVOICE,bankingDetails.accountNumber,,,,,accountNumber,,nao
924,amostra-bl.pdf,INVOICE,bankingDetails.beneficiary,,,,,beneficiary,,nao
925,amostra-bl.pdf,INVOICE,bankingDetails.branchCode,,,,,branchCode,,nao
926,amostra-bl.pdf,INVOICE,bankingDetails.fullText,,,,,fullText,"BANCO BPM S.P.A. SWIFT BAPPIT22 VICOLO CONCORDIA, 7-9 BOLLATE MI IBAN:IT88H0503420100000000001975",sim
927,amostra-bl.pdf,INVOICE,packageSummary.totalGrossWeight,,,,,totalGrossWeight,"115,00 KG",sim
928,amostra-bl.pdf,INVOICE,packageSummary.totalNetWeight,,,,,totalNetWeight,"94,04 KG",sim
929,amostra-bl.pdf,INVOICE,packageSummary.commercialUnit,,,,,commercialUnit,Cases,sim
930,amostra-bl.pdf,INVOICE,packageSummary.totalTareWeight,,,,,totalTareWeight,,nao
931,amostra-bl.pdf,INVOICE,packageSummary.totalCubicMeasurement,,,,,totalCubicMeasurement,"0,13 MC",sim
932,amostra-bl.pdf,INVOICE,packageSummary.totalPackages,,,,,totalPackages,"1,00",sim
933,amostra-bl.pdf,INVOICE,currency.type,moeda_item,PedidoItem,alta,,type,Eur,sim
934,amostra-bl.pdf,INVOICE,currency.exchangeRate,,,,,exchangeRate,,nao
935,amostra-bl.pdf,INVOICE,items_quantity,,,,,items_quantity,2,sim
936,amostra-bl.pdf,INVOICE,values.totalDocumentValue,,,,,totalDocumentValue,14894.00,sim
937,amostra-bl.pdf,INVOICE,values.discountsOrAdditions,,,,,discountsOrAdditions,,nao
938,amostra-bl.pdf,INVOICE,values.otherCharges,,,,,otherCharges,,nao
939,amostra-bl.pdf,INVOICE,observations,,,,,observations,DEL. NO 157137 of 10/02/25 Our ref. 2819872 B | Your ref. order 22/11/24 101J/24 Our ref. order 4 24764 2C003 | GOODS OF ITALIAN ORIGIN DESTINED TO EXPORT | COMMODITY: SPARE PARTS FOR PUMPS | CUSTOMS TARIFF: 8413.9100 | NO. 1 CASE DIM CMS 102x37x36,sim
940,amostra-bl.pdf,INVOICE,isSigned,,,,,isSigned,false,sim
941,amostra-bl.pdf,INVOICE,additionalFields.Código do Cliente,,,,,Código do Cliente,0503SU20000,sim
942,amostra-bl.pdf,INVOICE,additionalFields.Ordem de Trabalho,,,,,Ordem de Trabalho,4O764,sim
943,amostra-bl.pdf,INVOICE,items[].descriptions.english,descricao_completa_item_en,PedidoItem,alta,,english,HYDRAULIC PLUNGER,sim
944,amostra-bl.pdf,INVOICE,items[].descriptions.portuguese,descricao_completa_item_pt,PedidoItem,alta,,portuguese,,nao
945,amostra-bl.pdf,INVOICE,items[].weights.unit,,,,,unit,PZ,sim
946,amostra-bl.pdf,INVOICE,items[].weights.net,,,,,net,,nao
947,amostra-bl.pdf,INVOICE,items[].weights.gross,,,,,gross,,nao
948,amostra-bl.pdf,INVOICE,items[].volume.packageType,,,,,packageType,,nao
949,amostra-bl.pdf,INVOICE,items[].volume.dimensions,,,,,dimensions,,nao
950,amostra-bl.pdf,INVOICE,items[].volume.size,,,,,size,,nao
951,amostra-bl.pdf,INVOICE,items[].volume.quantity,,,,,quantity,,nao
952,amostra-bl.pdf,INVOICE,items[].partNumber,part_number_item,PedidoItem,alta,,partNumber,3940G1020000K70,sim
953,amostra-bl.pdf,INVOICE,items[].poNumber,,,,,poNumber,4513857046,sim
954,amostra-bl.pdf,INVOICE,items[].itemQuantity,,,,,itemQuantity,"1,00",sim
955,amostra-bl.pdf,INVOICE,items[].itemCurrency,,,,,itemCurrency,Eur,sim
956,amostra-bl.pdf,INVOICE,items[].itemUnitPriceWithCurrency,,,,,itemUnitPriceWithCurrency,"14.549,000",sim
957,amostra-bl.pdf,INVOICE,items[].itemTotalPriceWithCurrency,,,,,itemTotalPriceWithCurrency,"14.549,00",sim
958,amostra-bl.pdf,INVOICE,items[].ncm,,,,,ncm,,nao
959,amostra-bl.pdf,INVOICE,items[].hsCode,,,,,hsCode,,nao
960,amostra-bl.pdf,INVOICE,items[].originCountry,,,,,originCountry,,nao
961,amostra-bl.pdf,INVOICE,items[].manufacturer,,,,,manufacturer,,nao
962,amostra-bl.pdf,INVOICE,document.documentNumber,numero_invoice_item,PedidoItem,alta,,documentNumber,2250138,sim
963,amostra-bl.pdf,INVOICE,document.documentType,,,,,documentType,Invoice,sim
964,amostra-bl.pdf,INVOICE,document.documentDate,,,,,documentDate,2025-01-30,sim
965,amostra-bl.pdf,INVOICE,document.incoterm,incoterm_item,PedidoItem,sugestao,Alternativas: incoterm_processo (LogisticaInternacionalProcesso),incoterm,EXW,sim
966,amostra-bl.pdf,INVOICE,document.incotermLocation,,,,,incotermLocation,EX WORKS,sim
967,amostra-bl.pdf,INVOICE,document.originCountry,,,,,originCountry,ITALY,sim
968,amostra-bl.pdf,INVOICE,document.countryOfAcquisition,,,,,countryOfAcquisition,,nao
969,amostra-bl.pdf,INVOICE,document.countryOfProvenance,,,,,countryOfProvenance,,nao
970,amostra-bl.pdf,INVOICE,document.shippedOnBoardDate,,,,,shippedOnBoardDate,,nao
971,amostra-bl.pdf,INVOICE,exporter.name,nome_exportador_item,PedidoItem,sugestao,Alternativas: nome_fornecedor (Fornecedor),name,PERONI POMPE SpA,sim
972,amostra-bl.pdf,INVOICE,exporter.address,endereco_fornecedor,Fornecedor,alta,,address,"Via Tacito, 4 - 20094 Corsico (MI) Italia",sim
973,amostra-bl.pdf,INVOICE,exporter.country,pais_fornecedor,Fornecedor,alta,,country,Italy,sim
974,amostra-bl.pdf,INVOICE,exporter.state,estado_provincia_fornecedor,Fornecedor,alta,,state,,nao
975,amostra-bl.pdf,INVOICE,exporter.city,cidade_fornecedor,Fornecedor,alta,,city,Corsico,sim
976,amostra-bl.pdf,INVOICE,exporter.zipCode,cep_zipcode_fornecedor,Fornecedor,alta,,zipCode,20094,sim
977,amostra-bl.pdf,INVOICE,exporter.taxId,tin_fornecedor,Fornecedor,alta,,taxId,IT 00745820159,sim
978,amostra-bl.pdf,INVOICE,exporter.phone,telefone_fornecedor,Fornecedor,alta,,phone,+39 02 489 40.1,sim
979,amostra-bl.pdf,INVOICE,exporter.email,email_fornecedor,Fornecedor,alta,,email,,nao
980,amostra-bl.pdf,INVOICE,importer.name,nome_importador_item,PedidoItem,sugestao,Alternativas: nome_fornecedor (Fornecedor),name,SUPERQUIP SERVICOS E EQUIPAMENTOS TECNICOS LTDA,sim
981,amostra-bl.pdf,INVOICE,importer.address,endereco_fornecedor,Fornecedor,alta,,address,RUA MEXICO 3-18° ANDAR CENTRO 20031-144 RIO DE JANEIRO RJ BRASILEIRA,sim
982,amostra-bl.pdf,INVOICE,importer.country,pais_fornecedor,Fornecedor,alta,,country,BRASIL,sim
983,amostra-bl.pdf,INVOICE,importer.state,estado_provincia_fornecedor,Fornecedor,alta,,state,RJ,sim
984,amostra-bl.pdf,INVOICE,importer.city,cidade_fornecedor,Fornecedor,alta,,city,RIO DE JANEIRO,sim
985,amostra-bl.pdf,INVOICE,importer.zipCode,cep_zipcode_fornecedor,Fornecedor,alta,,zipCode,20031-144,sim
986,amostra-bl.pdf,INVOICE,importer.taxId,cnpj_fornecedor,Fornecedor,alta,,taxId,CNPJ30712061/0001-42,sim
987,amostra-bl.pdf,INVOICE,importer.phone,telefone_fornecedor,Fornecedor,alta,,phone,+55.21.22625355,sim
988,amostra-bl.pdf,INVOICE,importer.email,email_fornecedor,Fornecedor,alta,,email,,nao
989,amostra-bl.pdf,INVOICE,shipment.modal,modal_frete_internacional_processo,LogisticaInternacionalProcesso,alta,,modal,,nao
990,amostra-bl.pdf,INVOICE,shipment.carrier,,,,,carrier,,nao
991,amostra-bl.pdf,INVOICE,shipment.vesselName,,,,,vesselName,,nao
992,amostra-bl.pdf,INVOICE,shipment.airports.origin,,,,,origin,,nao
993,amostra-bl.pdf,INVOICE,shipment.airports.destination,,,,,destination,,nao
994,amostra-bl.pdf,INVOICE,shipment.ports.origin,porto_origem_processo,LogisticaInternacionalProcesso,alta,,origin,,nao
995,amostra-bl.pdf,INVOICE,shipment.ports.loading,porto_origem_processo,LogisticaInternacionalProcesso,alta,,loading,,nao
996,amostra-bl.pdf,INVOICE,shipment.ports.destination,porto_destino_processo,LogisticaInternacionalProcesso,alta,,destination,,nao
997,amostra-bl.pdf,INVOICE,shipment.ports.discharge,porto_destino_processo,LogisticaInternacionalProcesso,alta,,discharge,,nao
998,amostra-bl.pdf,INVOICE,shipment.costs.freight,,,,,freight,,nao
999,amostra-bl.pdf,INVOICE,shipment.costs.insurance,,,,,insurance,,nao
1000,amostra-bl.pdf,INVOICE,containerNumbers,container_numero_processo_container,ContainerProcesso,alta,,containerNumbers,,nao
1001,amostra-bl.pdf,INVOICE,payment.method,,,,,method,,nao
1002,amostra-bl.pdf,INVOICE,payment.terms,condicao_pagamento_item,PedidoItem,alta,,terms,60 DAYS INVOICE DATE,sim
1003,amostra-bl.pdf,INVOICE,bankingDetails.bankName,,,,,bankName,BANCO BPM S.P.A.,sim
1004,amostra-bl.pdf,INVOICE,bankingDetails.iban,,,,,iban,IT88H0503420100000000001975,sim
1005,amostra-bl.pdf,INVOICE,bankingDetails.swift,,,,,swift,BAPPIT21AI6,sim
1006,amostra-bl.pdf,INVOICE,bankingDetails.accountNumber,,,,,accountNumber,,nao
1007,amostra-bl.pdf,INVOICE,bankingDetails.beneficiary,,,,,beneficiary,,nao
1008,amostra-bl.pdf,INVOICE,bankingDetails.branchCode,,,,,branchCode,,nao
1009,amostra-bl.pdf,INVOICE,bankingDetails.fullText,,,,,fullText,"BANCO BPM S.P.A. SWIFT BAPPIT21AI6 VICOLO CONCORDIA, 7-9 BOLLATE MI IBAN:IT88H0503420100000000001975",sim
1010,amostra-bl.pdf,INVOICE,packageSummary.totalGrossWeight,,,,,totalGrossWeight,"130,00 KG",sim
1011,amostra-bl.pdf,INVOICE,packageSummary.totalNetWeight,,,,,totalNetWeight,"102,75 KG",sim
1012,amostra-bl.pdf,INVOICE,packageSummary.commercialUnit,,,,,commercialUnit,Cases,sim
1013,amostra-bl.pdf,INVOICE,packageSummary.totalTareWeight,,,,,totalTareWeight,,nao
1014,amostra-bl.pdf,INVOICE,packageSummary.totalCubicMeasurement,,,,,totalCubicMeasurement,"0,30 MC",sim
1015,amostra-bl.pdf,INVOICE,packageSummary.totalPackages,,,,,totalPackages,"1,00",sim
1016,amostra-bl.pdf,INVOICE,currency.type,moeda_item,PedidoItem,alta,,type,Eur,sim
1017,amostra-bl.pdf,INVOICE,currency.exchangeRate,,,,,exchangeRate,,nao
1018,amostra-bl.pdf,INVOICE,items_quantity,,,,,items_quantity,2,sim
1019,amostra-bl.pdf,INVOICE,values.totalDocumentValue,,,,,totalDocumentValue,59273.00,sim
1020,amostra-bl.pdf,INVOICE,values.discountsOrAdditions,,,,,discountsOrAdditions,,nao
1021,amostra-bl.pdf,INVOICE,values.otherCharges,,,,,otherCharges,,nao
1022,amostra-bl.pdf,INVOICE,observations,,,,,observations,DEL. NO 157114 of 29/01/25 Our ref. 2819837 B | Your ref. order 12/12/24 003AG/24 Our ref. order 4 24816 NI | GOODS OF ITALIAN ORIGIN DESTINED TO EXPORT | COMMODITY: SPARE PARTS FOR PUMPS | CUSTOMS TARIFF: 8413.9100 | NO. 1 CASE DIM CMS 87x57x56,sim
1023,amostra-bl.pdf,INVOICE,isSigned,,,,,isSigned,false,sim
1024,amostra-bl.pdf,INVOICE,additionalFields.Código do Cliente,,,,,Código do Cliente,0503SU20000,sim
1025,amostra-bl.pdf,INVOICE,additionalFields.Ordem de Trabalho,,,,,Ordem de Trabalho,4O816,sim
1026,amostra-bl.pdf,INVOICE,items[].descriptions.english,descricao_completa_item_en,PedidoItem,alta,,english,MAIN BUSHING,sim
1027,amostra-bl.pdf,INVOICE,items[].descriptions.portuguese,descricao_completa_item_pt,PedidoItem,alta,,portuguese,,nao
1028,amostra-bl.pdf,INVOICE,items[].weights.unit,,,,,unit,PZ,sim
1029,amostra-bl.pdf,INVOICE,items[].weights.net,,,,,net,,nao
1030,amostra-bl.pdf,INVOICE,items[].weights.gross,,,,,gross,,nao
1031,amostra-bl.pdf,INVOICE,items[].volume.packageType,,,,,packageType,,nao
1032,amostra-bl.pdf,INVOICE,items[].volume.dimensions,,,,,dimensions,,nao
1033,amostra-bl.pdf,INVOICE,items[].volume.size,,,,,size,,nao
1034,amostra-bl.pdf,INVOICE,items[].volume.quantity,,,,,quantity,,nao
1035,amostra-bl.pdf,INVOICE,items[].partNumber,part_number_item,PedidoItem,alta,,partNumber,3425R0154000U42,sim
1036,amostra-bl.pdf,INVOICE,items[].poNumber,,,,,poNumber,4513920118,sim
1037,amostra-bl.pdf,INVOICE,items[].itemQuantity,,,,,itemQuantity,"6,00",sim
1038,amostra-bl.pdf,INVOICE,items[].itemCurrency,,,,,itemCurrency,Eur,sim
1039,amostra-bl.pdf,INVOICE,items[].itemUnitPriceWithCurrency,,,,,itemUnitPriceWithCurrency,"9.723,000",sim
1040,amostra-bl.pdf,INVOICE,items[].itemTotalPriceWithCurrency,,,,,itemTotalPriceWithCurrency,"58.338,00",sim
1041,amostra-bl.pdf,INVOICE,items[].ncm,,,,,ncm,,nao
1042,amostra-bl.pdf,INVOICE,items[].hsCode,,,,,hsCode,,nao
1043,amostra-bl.pdf,INVOICE,items[].originCountry,,,,,originCountry,,nao
1044,amostra-bl.pdf,INVOICE,items[].manufacturer,,,,,manufacturer,,nao
1045,amostra-bl.pdf,INVOICE,document.documentNumber,numero_invoice_item,PedidoItem,alta,,documentNumber,2250098,sim
1046,amostra-bl.pdf,INVOICE,document.documentType,,,,,documentType,Invoice,sim
1047,amostra-bl.pdf,INVOICE,document.documentDate,,,,,documentDate,2025-01-17,sim
1048,amostra-bl.pdf,INVOICE,document.incoterm,incoterm_item,PedidoItem,sugestao,Alternativas: incoterm_processo (LogisticaInternacionalProcesso),incoterm,EXW,sim
1049,amostra-bl.pdf,INVOICE,document.incotermLocation,,,,,incotermLocation,EX WORKS,sim
1050,amostra-bl.pdf,INVOICE,document.originCountry,,,,,originCountry,ITALY,sim
1051,amostra-bl.pdf,INVOICE,document.countryOfAcquisition,,,,,countryOfAcquisition,,nao
1052,amostra-bl.pdf,INVOICE,document.countryOfProvenance,,,,,countryOfProvenance,,nao
1053,amostra-bl.pdf,INVOICE,document.shippedOnBoardDate,,,,,shippedOnBoardDate,,nao
1054,amostra-bl.pdf,INVOICE,exporter.name,nome_exportador_item,PedidoItem,sugestao,Alternativas: nome_fornecedor (Fornecedor),name,PERONI POMPE SpA,sim
1055,amostra-bl.pdf,INVOICE,exporter.address,endereco_fornecedor,Fornecedor,alta,,address,"Via Tacito, 4 - 20094 Corsico (MI) Italia",sim
1056,amostra-bl.pdf,INVOICE,exporter.country,pais_fornecedor,Fornecedor,alta,,country,Italy,sim
1057,amostra-bl.pdf,INVOICE,exporter.state,estado_provincia_fornecedor,Fornecedor,alta,,state,,nao
1058,amostra-bl.pdf,INVOICE,exporter.city,cidade_fornecedor,Fornecedor,alta,,city,Corsico,sim
1059,amostra-bl.pdf,INVOICE,exporter.zipCode,cep_zipcode_fornecedor,Fornecedor,alta,,zipCode,20094,sim
1060,amostra-bl.pdf,INVOICE,exporter.taxId,tin_fornecedor,Fornecedor,alta,,taxId,IT 00745820159,sim
1061,amostra-bl.pdf,INVOICE,exporter.phone,telefone_fornecedor,Fornecedor,alta,,phone,+39 02 489 40.1,sim
1062,amostra-bl.pdf,INVOICE,exporter.email,email_fornecedor,Fornecedor,alta,,email,,nao
1063,amostra-bl.pdf,INVOICE,importer.name,nome_importador_item,PedidoItem,sugestao,Alternativas: nome_fornecedor (Fornecedor),name,SUPERQUIP SERVICOS E EQUIPAMENTOS TECNICOS LTDA,sim
1064,amostra-bl.pdf,INVOICE,importer.address,endereco_fornecedor,Fornecedor,alta,,address,RUA MEXICO 3-18° ANDAR CENTRO 20031-144 RIO DE JANEIRO RJ BRASILEIRA,sim
1065,amostra-bl.pdf,INVOICE,importer.country,pais_fornecedor,Fornecedor,alta,,country,BRASIL,sim
1066,amostra-bl.pdf,INVOICE,importer.state,estado_provincia_fornecedor,Fornecedor,alta,,state,RJ,sim
1067,amostra-bl.pdf,INVOICE,importer.city,cidade_fornecedor,Fornecedor,alta,,city,RIO DE JANEIRO,sim
1068,amostra-bl.pdf,INVOICE,importer.zipCode,cep_zipcode_fornecedor,Fornecedor,alta,,zipCode,20031-144,sim
1069,amostra-bl.pdf,INVOICE,importer.taxId,cnpj_fornecedor,Fornecedor,alta,,taxId,CNPJ30712061/0001-42,sim
1070,amostra-bl.pdf,INVOICE,importer.phone,telefone_fornecedor,Fornecedor,alta,,phone,+55.21.22625355,sim
1071,amostra-bl.pdf,INVOICE,importer.email,email_fornecedor,Fornecedor,alta,,email,,nao
1072,amostra-bl.pdf,INVOICE,shipment.modal,modal_frete_internacional_processo,LogisticaInternacionalProcesso,alta,,modal,,nao
1073,amostra-bl.pdf,INVOICE,shipment.carrier,,,,,carrier,,nao
1074,amostra-bl.pdf,INVOICE,shipment.vesselName,,,,,vesselName,,nao
1075,amostra-bl.pdf,INVOICE,shipment.airports.origin,,,,,origin,,nao
1076,amostra-bl.pdf,INVOICE,shipment.airports.destination,,,,,destination,,nao
1077,amostra-bl.pdf,INVOICE,shipment.ports.origin,porto_origem_processo,LogisticaInternacionalProcesso,alta,,origin,,nao
1078,amostra-bl.pdf,INVOICE,shipment.ports.loading,porto_origem_processo,LogisticaInternacionalProcesso,alta,,loading,,nao
1079,amostra-bl.pdf,INVOICE,shipment.ports.destination,porto_destino_processo,LogisticaInternacionalProcesso,alta,,destination,,nao
1080,amostra-bl.pdf,INVOICE,shipment.ports.discharge,porto_destino_processo,LogisticaInternacionalProcesso,alta,,discharge,,nao
1081,amostra-bl.pdf,INVOICE,shipment.costs.freight,,,,,freight,,nao
1082,amostra-bl.pdf,INVOICE,shipment.costs.insurance,,,,,insurance,,nao
1083,amostra-bl.pdf,INVOICE,containerNumbers,container_numero_processo_container,ContainerProcesso,alta,,containerNumbers,,nao
1084,amostra-bl.pdf,INVOICE,payment.method,,,,,method,,nao
1085,amostra-bl.pdf,INVOICE,payment.terms,condicao_pagamento_item,PedidoItem,alta,,terms,60 DAYS INVOICE DATE,sim
1086,amostra-bl.pdf,INVOICE,bankingDetails.bankName,,,,,bankName,BANCO BPM S.P.A.,sim
1087,amostra-bl.pdf,INVOICE,bankingDetails.iban,,,,,iban,IT88H0503420100000000001975,sim
1088,amostra-bl.pdf,INVOICE,bankingDetails.swift,,,,,swift,BAPPIT21AI6,sim
1089,amostra-bl.pdf,INVOICE,bankingDetails.accountNumber,,,,,accountNumber,,nao
1090,amostra-bl.pdf,INVOICE,bankingDetails.beneficiary,,,,,beneficiary,,nao
1091,amostra-bl.pdf,INVOICE,bankingDetails.branchCode,,,,,branchCode,,nao
1092,amostra-bl.pdf,INVOICE,bankingDetails.fullText,,,,,fullText,"BANCO BPM S.P.A. SWIFT BAPPIT21AI6 VICOLO CONCORDIA, 7-9 BOLLATE MI IBAN:IT88H0503420100000000001975",sim
1093,amostra-bl.pdf,INVOICE,packageSummary.totalGrossWeight,,,,,totalGrossWeight,"5,00 KG",sim
1094,amostra-bl.pdf,INVOICE,packageSummary.totalNetWeight,,,,,totalNetWeight,"4,48 KG",sim
1095,amostra-bl.pdf,INVOICE,packageSummary.commercialUnit,,,,,commercialUnit,Boxes,sim
1096,amostra-bl.pdf,INVOICE,packageSummary.totalTareWeight,,,,,totalTareWeight,,nao
1097,amostra-bl.pdf,INVOICE,packageSummary.totalCubicMeasurement,,,,,totalCubicMeasurement,"0,04 MC",sim
1098,amostra-bl.pdf,INVOICE,packageSummary.totalPackages,,,,,totalPackages,"1,00",sim
1099,amostra-bl.pdf,INVOICE,currency.type,moeda_item,PedidoItem,alta,,type,Eur,sim
1100,amostra-bl.pdf,INVOICE,currency.exchangeRate,,,,,exchangeRate,,nao
1101,amostra-bl.pdf,INVOICE,items_quantity,,,,,items_quantity,5,sim
1102,amostra-bl.pdf,INVOICE,values.totalDocumentValue,,,,,totalDocumentValue,9825.00,sim
1103,amostra-bl.pdf,INVOICE,values.discountsOrAdditions,,,,,discountsOrAdditions,,nao
1104,amostra-bl.pdf,INVOICE,values.otherCharges,,,,,otherCharges,,nao
1105,amostra-bl.pdf,INVOICE,observations,,,,,observations,DEL. NO 157075 of 17/01/25 Our ref. 2819788 B | Your ref. order 28/10/24 101D/24 Our ref. order 4 24689 27003 | GOODS OF ITALIAN ORIGIN DESTINED TO EXPORT | COMMODITY: SPARE PARTS FOR PUMPS | CUSTOMS TARIFF: 8413.9100 | NO. 1 CARTON BOX DIM CMS 40x30x30,sim
1106,amostra-bl.pdf,INVOICE,isSigned,,,,,isSigned,false,sim
1107,amostra-bl.pdf,INVOICE,additionalFields.Código do Cliente,,,,,Código do Cliente,0503SU20000,sim
1108,amostra-bl.pdf,INVOICE,additionalFields.Ordem de Trabalho,,,,,Ordem de Trabalho,4O689,sim
1109,amostra-bl.pdf,INVOICE,items[].descriptions.english,descricao_completa_item_en,PedidoItem,alta,,english,DISCHARGE VALVE SEAT ø32,sim
1110,amostra-bl.pdf,INVOICE,items[].descriptions.portuguese,descricao_completa_item_pt,PedidoItem,alta,,portuguese,,nao
1111,amostra-bl.pdf,INVOICE,items[].weights.unit,,,,,unit,PZ,sim
1112,amostra-bl.pdf,INVOICE,items[].weights.net,,,,,net,,nao
1113,amostra-bl.pdf,INVOICE,items[].weights.gross,,,,,gross,,nao
1114,amostra-bl.pdf,INVOICE,items[].volume.packageType,,,,,packageType,,nao
1115,amostra-bl.pdf,INVOICE,items[].volume.dimensions,,,,,dimensions,,nao
1116,amostra-bl.pdf,INVOICE,items[].volume.size,,,,,size,,nao
1117,amostra-bl.pdf,INVOICE,items[].volume.quantity,,,,,quantity,,nao
1118,amostra-bl.pdf,INVOICE,items[].partNumber,part_number_item,PedidoItem,alta,,partNumber,3100N0002E00K39,sim
1119,amostra-bl.pdf,INVOICE,items[].poNumber,,,,,poNumber,4513769032,sim
1120,amostra-bl.pdf,INVOICE,items[].itemQuantity,,,,,itemQuantity,"3,00",sim
1121,amostra-bl.pdf,INVOICE,items[].itemCurrency,,,,,itemCurrency,Eur,sim
1122,amostra-bl.pdf,INVOICE,items[].itemUnitPriceWithCurrency,,,,,itemUnitPriceWithCurrency,"1.103,000",sim
1123,amostra-bl.pdf,INVOICE,items[].itemTotalPriceWithCurrency,,,,,itemTotalPriceWithCurrency,"3.309,00",sim
1124,amostra-bl.pdf,INVOICE,items[].ncm,,,,,ncm,,nao
1125,amostra-bl.pdf,INVOICE,items[].hsCode,,,,,hsCode,,nao
1126,amostra-bl.pdf,INVOICE,items[].originCountry,,,,,originCountry,,nao
1127,amostra-bl.pdf,INVOICE,items[].manufacturer,,,,,manufacturer,,nao
1128,amostra-bl.pdf,INVOICE,document.documentNumber,numero_invoice_item,PedidoItem,alta,,documentNumber,2250136,sim
1129,amostra-bl.pdf,INVOICE,document.documentType,,,,,documentType,Invoice,sim
1130,amostra-bl.pdf,INVOICE,document.documentDate,,,,,documentDate,2025-01-30,sim
1131,amostra-bl.pdf,INVOICE,document.incoterm,incoterm_item,PedidoItem,sugestao,Alternativas: incoterm_processo (LogisticaInternacionalProcesso),incoterm,EXW,sim
1132,amostra-bl.pdf,INVOICE,document.incotermLocation,,,,,incotermLocation,EX WORKS,sim
